company,companyLabel,typeLabel,countryLabel,foundingYear,revenue,employees,assets
http://www.wikidata.org/entity/Q12326689,Q12326689,Кофе,Дания,1956-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q137533120,Q137533120,Кофе,,,,,
http://www.wikidata.org/entity/Q19960469,Q19960469,Кофе,Германия,2007-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2086676,Q2086676,Кофе,Италия,1963-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q106608890,Alpha Coffee,Кофе,США,2010-09-11T00:00:00Z,,,
http://www.wikidata.org/entity/Q105080718,Amsterdam-Tapanoeli Rubber Cultur Maatschappij,Кофе,Нидерланды,1910-04-05T00:00:00Z,,,
http://www.wikidata.org/entity/Q4795497,Aroma Café,Кофе,Великобритания,1991-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4795497,Aroma Café,Кофе,Аргентина,1991-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2869396,Atlantic Grupa,Кофе,Хорватия,1991-10-28T00:00:00Z,987082000,5274,446258000
http://www.wikidata.org/entity/Q17165535,BKI Foods,Кофе,Дания,1960-01-01T00:00:00Z,940000000,245,
http://www.wikidata.org/entity/Q106290996,Bajoe Kidoel Rubber & Produce Co.,Кофе,Соединённое королевство Великобритании и Ирландии,1911-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q83437245,Bambu,Кофе,США,,,,
http://www.wikidata.org/entity/Q104888250,Bandar Rubber Maatschappij,Кофе,Нидерланды,1910-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q12302886,Baresso,Кофе,Дания,1999-09-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q121072061,Barn's,Кофе,Саудовская Аравия,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q64005031,Black Rifle Coffee Company,Кофе,США,2014-12-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4926090,Blenz Coffee,Кофе,,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4928917,Blue Bottle Coffee Company,Кофе,США,2002-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q30591352,Bo's Coffee,Кофе,Филиппины,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,Кофе,Великобритания,1909-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,Кофе,Бразилия,1909-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,Кофе,Соединённое королевство Великобритании и Ирландии,1909-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q105426875,British Rubber Estates of Java,Кофе,Соединённое королевство Великобритании и Ирландии,1910-05-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18208286,Bucking Bull,Кофе,,1999-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5017191,Caffè Pascucci,Кофе,Италия,1883-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5017193,Caffè Ritazza,Кофе,Великобритания,,,,
http://www.wikidata.org/entity/Q136735524,Caffé Trieste,Кофе,Словакия,2008-09-10T00:00:00Z,,,
http://www.wikidata.org/entity/Q5017199,Caffé Vita Coffee Roasting Company,Кофе,США,1995-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q23058374,Cafè Neo,Кофе,,2012-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5017235,Café Coffee Day,Кофе,Индия,1996-01-01T00:00:00Z,,20135,
http://www.wikidata.org/entity/Q5017260,Café Rico,Кофе,США,1930-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5017286,Cafédirect,Кофе,Великобритания,1991-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q105064589,Cambuhy Coffee and Cotton Estates,Кофе,Великобритания,1925-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q105064589,Cambuhy Coffee and Cotton Estates,Кофе,Соединённое королевство Великобритании и Ирландии,1925-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q116766725,Central American Plantations Corporation,Кофе,США,1921-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5121803,Circus Drive-In,Кофе,США,1954-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5140895,Coffee Beanery,Кофе,США,1976-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q60867333,Coffee Island,Кофе,,1999-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q27431294,Coffee Method,Кофе,,,,,
http://www.wikidata.org/entity/Q5140923,Coffee Republic,Кофе,Великобритания,1995-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5140932,Coffee Time,Кофе,Канада,1982-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18477422,Companhia Agrícola e Pastoril d’Oeste de São Paulo,Кофе,Бразилия,1912-08-12T00:00:00Z,,,
http://www.wikidata.org/entity/Q120997937,Compose Coffee,Кофе,Республика Корея,2014-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q12055615,Crazy Mocha Coffee Company,Кофе,,2000-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q105233535,Cultuur Maatschappij Pondok-Gedeh,Кофе,Нидерланды,1832-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q106494090,Deli-Batavia Rubber Maatschappij,Кофе,Нидерланды,1910-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q130334843,Delikana,Кофе,Чехия,,,,
http://www.wikidata.org/entity/Q110835078,Devolli Corporation,Кофе,Косово,1989-01-01T00:00:00Z,400000000,4200,
http://www.wikidata.org/entity/Q106838103,Djember Rubber Estates,Кофе,Великобритания,1910-02-18T00:00:00Z,,,
http://www.wikidata.org/entity/Q5296921,Donut King,Кофе,Австралия,1981-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1252809,Douwe Egberts,Кофе,Нидерланды,1753-01-01T00:00:00Z,,7579,
http://www.wikidata.org/entity/Q137293468,Dreamers Coffee Roasters,Кофе,Китайская Республика (Тайвань),2019-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q17000871,Dwinell-Wright Company,Кофе,США,1845-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Индонезия,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Сингапур,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Бахрейн,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Австралия,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Мальдивы,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Малайзия,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Объединённые Арабские Эмираты,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5289995,Dôme,Кофе,Филиппины,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q12611298,Ediya Coffee,Кофе,Республика Корея,2001-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q118489697,El Chaná,Кофе,Уругвай,1899-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5384122,Equal Exchange,Кофе,,1986-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5384123,Equal Exchange Trading,Кофе,Великобритания,,,,
http://www.wikidata.org/entity/Q10489162,Espresso House,Кофе,Швеция,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q17069332,Esquires,Кофе,,1993-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18148458,Farmer Brothers,Кофе,США,1912-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q132291927,Fleur de Café,Кофе,Нидерланды,2007-01-01T00:00:00Z,,18,
http://www.wikidata.org/entity/Q5459945,Flocafé,Кофе,,1994-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q129256375,Fresh Corner,Кофе,,,,,
http://www.wikidata.org/entity/Q16993987,Gaviña Gourmet Coffee,Кофе,США,1870-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q896100,Gepa The Fair Trade Company,Кофе,Германия,1975-05-14T00:00:00Z,,,
http://www.wikidata.org/entity/Q3268492,Gevalia,Кофе,Швеция,1853-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q28229714,Gregorys Coffee,Кофе,США,2006-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5612238,Grupo Nutresa,Кофе,Колумбия,1920-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5637114,Hacienda Buena Vista,Кофе,США,1987-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q64026737,Hacienda Lealtad,Кофе,США,,,,
http://www.wikidata.org/entity/Q64026737,Hacienda Lealtad,Кофе,Пуэрто-Рико,,,,
http://www.wikidata.org/entity/Q59115692,Hildesheim,Кофе,Суринам,,,,
http://www.wikidata.org/entity/Q5929076,Hudsons Coffee,Кофе,,1998-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q105477506,Insulinde Cultuur Syndicaat,Кофе,Нидерланды,1910-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q4260444,J.CO Donuts,Кофе,Индонезия,2005-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2182096,Katwijk,Кофе,Суринам,1746-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q107151170,Kolls,Кофе,Германия,1962-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q6435806,Kraft Foods Banbury,Кофе,Великобритания,,,,
http://www.wikidata.org/entity/Q12810467,Kurukahveci Mehmet Efendi,Кофе,Турция,1871-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q23461663,La Colombe Coffee Roasters,Кофе,США,1994-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q136734522,La Donuteria,Кофе,Словакия,,,,
http://www.wikidata.org/entity/Q16998937,La Prima Espresso Company,Кофе,,,,,
http://www.wikidata.org/entity/Q105274801,Loumidis,Кофе,,,,,
http://www.wikidata.org/entity/Q576340,Maspex,Кофе,Польша,1990-01-01T00:00:00Z,602000000,323,
http://www.wikidata.org/entity/Q1502774,Massimo Zanetti Beverage Group,Кофе,Италия,1973-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18688965,Meira,Кофе,Финляндия,1914-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q113059957,Mel-O-Cream Donuts,Кофе,США,1932-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q137293570,Miacucina,Кофе,Китайская Республика (Тайвань),2012-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q16952021,Mikel Coffee Company,Кофе,,2008-01-01T00:00:00Z,33439000,3000,
http://www.wikidata.org/entity/Q46012677,Miko,Кофе,Бельгия,1937-12-28T00:00:00Z,289800000,1400,
http://www.wikidata.org/entity/Q6850057,Miko Coffee,Кофе,,1801-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q137888394,Miopane USA,Кофе,США,,,,
http://www.wikidata.org/entity/Q105542987,Moluccan Trade Company,Кофе,Нидерланды,1881-11-09T00:00:00Z,,,
http://www.wikidata.org/entity/Q6932113,Mugg & Bean,Кофе,ЮАР,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7119454,PJ's Coffee,Кофе,США,1978-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q137293809,PRESERVE,Кофе,Китайская Республика (Тайвань),2022-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q12331633,Peter Larsens Kaffe,Кофе,Дания,1902-04-02T00:00:00Z,,,
http://www.wikidata.org/entity/Q126489285,Pickup Coffee,Кофе,,2022-02-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18166370,Pie Face,Кофе,Австралия,2003-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7230543,Port City Java,Кофе,США,1995-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q131936188,Retrograde Wrexham,Кофе,Великобритания,,,,
http://www.wikidata.org/entity/Q7374169,Royal Farms,Кофе,США,,,,
http://www.wikidata.org/entity/Q104887237,"Rubber Cultuur Maatschappij ""Kendeng Lemboe""",Кофе,Нидерланды,1909-08-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q2202850,Röstfein,Кофе,Германия,,,,
http://www.wikidata.org/entity/Q7392718,SPoT Coffee,Кофе,Канада,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q122764967,Santos Palace,Кофе,Бельгия,1911-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q135728368,Saquella,Кофе,Италия,1856-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q862180,Second Cup,Кофе,Канада,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q5862430,Shirin Asal Food Industrial Group,Кофе,Иран,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q130868061,Stop Cafe,Кофе,,,,,
http://www.wikidata.org/entity/Q2695932,Stumptown Coffee Roasters,Кофе,США,1999-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q104733666,"Sumatra Rubber Cultuur Maatschappij ""Serbadjadi""",Кофе,Нидерланды,1909-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q16951700,Sumo Salad,Кофе,Австралия,2003-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q112861795,Tanoak seed,Кофе,,,,,
http://www.wikidata.org/entity/Q564213,Tchibo,Кофе,Германия,1949-03-15T00:00:00Z,3400000000,8300,
http://www.wikidata.org/entity/Q564213,Tchibo,Кофе,Германия,1949-03-15T00:00:00Z,3400000000,12000,
http://www.wikidata.org/entity/Q7726599,The Coffee Club,Кофе,Австралия,1989-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7735180,The Freaky Bean Coffee Company,Кофе,,2005-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7807011,Timothy's World Coffee,Кофе,Канада,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q104530260,Tjiboeni-Tjipongpok Caoutchouc Maatschappij,Кофе,Нидерланды,1910-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q3541983,Tully's Coffee,Кофе,США,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q7887616,United Coffee,Кофе,,1818-01-01T00:00:00Z,,,
